ptp4l[338788.784]: port 1 (enxb827ebcf092b): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[338788.785]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[338788.786]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[338792.246]: master offset -1390764350 s0 freq   -7082 path delay    343326
ptp4l[338793.247]: master offset -1390726028 s0 freq   -7082 path delay    343326
ptp4l[338794.247]: master offset -1390723702 s0 freq   -7082 path delay    360162
ptp4l[338795.247]: master offset -1390760605 s0 freq   -7082 path delay    376998
ptp4l[338796.248]: master offset -1390713869 s0 freq   -7082 path delay    360162
ptp4l[338797.248]: master offset -1390744832 s0 freq   -7082 path delay    360162
ptp4l[338798.248]: master offset -1390749616 s0 freq   -7082 path delay    366671
ptp4l[338799.489]: master offset -1390746353 s0 freq   -7082 path delay    366671
ptp4l[338800.249]: master offset -1390744685 s0 freq   -7082 path delay    349246
ptp4l[338801.701]: master offset -1390737316 s0 freq   -7082 path delay    349246
ptp4l[338802.259]: master offset -1390654818 s0 freq   -7082 path delay    353024
ptp4l[338803.250]: master offset -1390704066 s0 freq   -7082 path delay    335600
ptp4l[338804.250]: master offset -1390614757 s0 freq   -7082 path delay    335600
ptp4l[338805.250]: master offset -1390725179 s0 freq   -7082 path delay    335600
ptp4l[338806.250]: master offset -1390692591 s0 freq   -7082 path delay    335600
ptp4l[338807.260]: master offset -1390728625 s0 freq   -7082 path delay    345110
ptp4l[338808.251]: master offset -1390706762 s1 freq   -3483 path delay    335600
ptp4l[338809.251]: master offset -1391466208 s0 freq   -3483 path delay    335600
ptp4l[338810.801]: master offset -1391466980 s0 freq   -3483 path delay    335600
ptp4l[338811.252]: master offset -1391425316 s0 freq   -3483 path delay    335498
ptp4l[338812.261]: master offset -1391440378 s0 freq   -3483 path delay    325187
ptp4l[338813.488]: master offset -1391465460 s0 freq   -3483 path delay    325187
ptp4l[338815.482]: master offset -1391486221 s0 freq   -3483 path delay    321724
ptp4l[338815.483]: master offset -1391513458 s0 freq   -3483 path delay    321724
ptp4l[338816.253]: master offset -1391464271 s0 freq   -3483 path delay    327456
ptp4l[338817.540]: master offset -1391495786 s0 freq   -3483 path delay    327456
ptp4l[338818.254]: master offset -1391447496 s0 freq   -3483 path delay    310680
ptp4l[338819.254]: master offset -1391388233 s0 freq   -3483 path delay    310680
ptp4l[338820.254]: master offset -1391400882 s0 freq   -3483 path delay    310680
ptp4l[338821.254]: master offset -1391484200 s0 freq   -3483 path delay    284912
ptp4l[338822.255]: master offset -1391451701 s0 freq   -3483 path delay    284912
ptp4l[338823.255]: master offset -1391475071 s0 freq   -3483 path delay    291522
ptp4l[338824.298]: master offset -1391487923 s0 freq   -3483 path delay    291522
ptp4l[338826.219]: master offset -1391511211 s0 freq   -3483 path delay    289272
ptp4l[338826.255]: master offset -1391419000 s0 freq   -3483 path delay    289272
ptp4l[338827.256]: master offset -1391553785 s1 freq   -8759 path delay    324847
ptp4l[338828.265]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[338828.266]: master offset -1388883014 s0 freq   -8759 path delay    324847
ptp4l[338829.256]: master offset -1388863315 s0 freq   -8759 path delay    330471
ptp4l[338830.257]: master offset -1388911432 s0 freq   -8759 path delay    322914
ptp4l[338831.669]: master offset -1388921542 s0 freq   -8759 path delay    322914
ptp4l[338832.257]: master offset -1388890854 s0 freq   -8759 path delay    315651
ptp4l[338833.267]: master offset -1388936576 s0 freq   -8759 path delay    315651
ptp4l[338834.258]: master offset -1388930643 s0 freq   -8759 path delay    308719
ptp4l[338835.956]: master offset -1388917432 s0 freq   -8759 path delay    308719
ptp4l[338836.258]: master offset -1388871311 s0 freq   -8759 path delay    294113
ptp4l[338837.844]: master offset -1388900418 s0 freq   -8759 path delay    294113
ptp4l[338838.268]: master offset -1388898597 s0 freq   -8759 path delay    308719
ptp4l[338839.755]: master offset -1388926159 s0 freq   -8759 path delay    308719
ptp4l[338840.259]: master offset -1388882482 s0 freq   -8759 path delay    294113
ptp4l[338841.610]: master offset -1388896447 s0 freq   -8759 path delay    294113
ptp4l[338842.260]: master offset -1388798421 s0 freq   -8759 path delay    291437
ptp4l[338843.270]: master offset -1388865481 s0 freq   -8759 path delay    291437
ptp4l[338844.262]: master offset -1388897531 s1 freq   -9666 path delay    286134
ptp4l[338845.261]: master offset -1381718814 s0 freq   -9666 path delay    286134
ptp4l[338846.261]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[338846.261]: master offset -1381683391 s0 freq   -9666 path delay    274309
ptp4l[338847.261]: master offset -1381673077 s0 freq   -9666 path delay    258670
ptp4l[338848.272]: master offset -1381698898 s0 freq   -9666 path delay    258670
ptp4l[338849.262]: master offset -1381693418 s0 freq   -9666 path delay    258670
ptp4l[338850.262]: master offset -1381687078 s0 freq   -9666 path delay    281771
ptp4l[338851.284]: master offset -1381733646 s0 freq   -9666 path delay    281771
ptp4l[338852.262]: master offset -1381650364 s0 freq   -9666 path delay    304126
ptp4l[338853.371]: master offset -1381745744 s0 freq   -9666 path delay    304126
ptp4l[338854.263]: master offset -1381659397 s0 freq   -9666 path delay    304126
ptp4l[338855.377]: master offset -1381738301 s0 freq   -9666 path delay    304126
ptp4l[338856.264]: master offset -1381727293 s0 freq   -9666 path delay    317470
ptp4l[338857.264]: master offset -1381719835 s0 freq   -9666 path delay    317470
ptp4l[338858.264]: master offset -1381636963 s0 freq   -9666 path delay    317470
ptp4l[338859.264]: master offset -1381724760 s0 freq   -9666 path delay    319015
ptp4l[338860.265]: master offset -1381737583 s0 freq   -9666 path delay    311766
ptp4l[338861.265]: master offset -1381753668 s0 freq   -9666 path delay    311766
ptp4l[338862.265]: master offset -1381727109 s1 freq  -12398 path delay    311766
ptp4l[338863.265]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[338863.266]: master offset -1393858030 s0 freq  -12398 path delay    311766
ptp4l[338864.266]: master offset -1393850704 s0 freq  -12398 path delay    294683
ptp4l[338865.266]: master offset -1393859873 s0 freq  -12398 path delay    285348
ptp4l[338867.148]: master offset -1393845480 s0 freq  -12398 path delay    285348
ptp4l[338867.266]: master offset -1393837456 s0 freq  -12398 path delay    285348
ptp4l[338868.932]: master offset -1393824004 s0 freq  -12398 path delay    285348
ptp4l[338869.267]: master offset -1393760375 s0 freq  -12398 path delay    285348
ptp4l[338870.267]: master offset -1393818865 s0 freq  -12398 path delay    283600
ptp4l[338872.027]: master offset -1393825026 s0 freq  -12398 path delay    283600
ptp4l[338873.709]: master offset -1393828614 s0 freq  -12398 path delay    272406
ptp4l[338873.712]: master offset -1393724237 s0 freq  -12398 path delay    272406
ptp4l[338874.672]: master offset -1393715803 s0 freq  -12398 path delay    272406
ptp4l[338875.268]: master offset -1393719571 s0 freq  -12398 path delay    269756
ptp4l[338876.638]: master offset -1393797682 s0 freq  -12398 path delay    269756
ptp4l[338877.269]: master offset -1393765315 s0 freq  -12398 path delay    269756
ptp4l[338878.377]: master offset -1393794007 s0 freq  -12398 path delay    269756
ptp4l[338879.270]: master offset -1393696170 s1 freq   -2284 path delay    269756
ptp4l[338880.270]: master offset -1389769105 s0 freq   -2284 path delay    269756
ptp4l[338881.270]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[338881.270]: master offset -1389742275 s0 freq   -2284 path delay    269756
ptp4l[338882.270]: master offset -1389787662 s0 freq   -2284 path delay    282931
ptp4l[338883.271]: master offset -1389797346 s0 freq   -2284 path delay    282931
ptp4l[338884.271]: master offset -1389837114 s0 freq   -2284 path delay    282931
ptp4l[338885.281]: master offset -1389826515 s0 freq   -2284 path delay    282931
ptp4l[338886.271]: master offset -1389825024 s0 freq   -2284 path delay    282931
ptp4l[338887.272]: master offset -1389837765 s0 freq   -2284 path delay    278672
ptp4l[338888.373]: master offset -1389865735 s0 freq   -2284 path delay    278672
