ptp4l[339473.324]: port 1 (enxb827ebcf092b): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[339473.325]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[339473.326]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[339481.606]: master offset -1395419011 s0 freq  -10263 path delay    363379
ptp4l[339482.606]: master offset -1395679664 s0 freq  -10263 path delay    359241
ptp4l[339483.606]: master offset -1395853235 s0 freq  -10263 path delay    359241
ptp4l[339484.606]: master offset -1396031146 s0 freq  -10263 path delay    355104
ptp4l[339485.606]: master offset -1396140285 s0 freq  -10263 path delay    324388
ptp4l[339486.606]: master offset -1396415836 s0 freq  -10263 path delay    355104
ptp4l[339487.606]: master offset -1396598409 s0 freq  -10263 path delay    355104
ptp4l[339488.606]: master offset -1396698356 s0 freq  -10263 path delay    355104
ptp4l[339489.606]: master offset -1396862945 s0 freq  -10263 path delay    359241
ptp4l[339490.606]: master offset -1397013431 s0 freq  -10263 path delay    359241
ptp4l[339491.616]: master offset -1397116579 s0 freq  -10263 path delay    366868
ptp4l[339492.705]: master offset -1397268358 s0 freq  -10263 path delay    366868
ptp4l[339493.606]: master offset -1397296363 s0 freq  -10263 path delay    340259
ptp4l[339494.725]: master offset -1397460973 s0 freq  -10263 path delay    340259
ptp4l[339495.607]: master offset -1397555049 s0 freq  -10263 path delay    340259
ptp4l[339497.100]: master offset -1397699615 s0 freq  -10263 path delay    340259
ptp4l[339497.608]: master offset -1397669515 s1 freq -150910 path delay    325191
ptp4l[339499.081]: master offset -1399638571 s0 freq -150910 path delay    325191
ptp4l[339500.460]: master offset -1399438976 s0 freq -150910 path delay    291109
ptp4l[339500.608]: master offset -1399373215 s0 freq -150910 path delay    267328
ptp4l[339501.618]: master offset -1399199285 s0 freq -150910 path delay    265426
ptp4l[339502.609]: master offset -1399060294 s0 freq -150910 path delay    265426
ptp4l[339503.609]: master offset -1398916386 s0 freq -150910 path delay    265426
